project	run	cb_halstead_simple	cb_halstead_simple_div	cb_halstead_simple_bt	cb_halstead_inherit	cb_halstead_inherit_div	cb_halstead_inherit_bt
alluxio-core	0	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	1	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	2	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	3	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	4	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	5	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	6	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	7	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	8	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
alluxio-core	9	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
