project	run	add_ccs_ca	tot_ccm_ca	add_ccm_ca	tot_ccs_ca	tot_pc-sys_ca	add_pc-sys_ca	tot_pc-chg_ca	add_pc-chg_ca	tot_st-sys_ca	add_st-sys_ca	tot_st-chg_ca	add_st-chg_ca	tot_ccm	add_ccm	tot_ccs	add_ccs	tot_pc-sys	add_pc-sys	tot_pc-chg	add_pc-chg	tot_st-sys	add_st-sys	tot_st-chg	add_st-chg
zookeeper-server	7	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8976902252891819	0.9427364904465834	0.8656723115420712	0.9843710715777015	0.8976588900512762	0.9311021328572778	0.901496393565843	0.9926503389815703	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9501849036972968	0.9462707695487473	0.9512257388845555	0.9041401358570861	0.9831967849345934	0.9315991688710052	0.9252144349166983	0.9389241602274006
zookeeper-server	8	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8968003494207025	0.9427364904465833	0.8666645105139175	0.9843710715777015	0.8984188890696859	0.9311021328572778	0.9032633229324131	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.94601785690938	0.9612900117064395	0.9463258934886998	0.95689070417929	0.98446181422136	0.9479540004727876	0.9120557212976592	0.9286960866537791
zookeeper-server	9	0.9926503389815701	0.9926503389815703	0.9926503389815701	0.9926503389815702	0.9497616426460488	0.8983117452048786	0.9427364904465833	0.8650958779011839	0.9843710715777015	0.8969031254750592	0.9311021328572777	0.9027546397252373	0.9926503389815703	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9423519790588202	0.9280777963665386	0.9572928416948971	0.922754730006796	0.9858798293550456	0.944646661942512	0.9526623479621481	0.928423659384444
alluxio-core	0	0.923342194430246	0.8523320679441478	0.9352199455073491	0.7936150670251491	0.7016413126096761	0.442800125396573	0.7455643497252086	0.5372930630380193	0.7308641009606136	0.93793678982762	0.675448570411291	0.9376399043591543	0.8523320679441478	0.9352257781796467	0.7932583019029741	0.922932935257397	0.6668144166455185	0.7923188945298796	0.6813138559207356	0.7976996215294493	0.7311467001656097	0.9385199398262962	0.6747202756373409	0.9373708102474769
alluxio-core	1	0.9229426563778921	0.8523320679441478	0.9355358819234442	0.7936150670251491	0.7021188518836473	0.4427452010657749	0.7455643497252088	0.5372118608313964	0.7308641009606136	0.937556694016257	0.6754432237950186	0.9376510497700812	0.8522290240668983	0.9354931089932657	0.7932583019029741	0.9233081705085131	0.6809974324585429	0.8195390450550138	0.7621005075120987	0.6204438342054364	0.7292205681297127	0.9388467814686372	0.6751056786178831	0.9382206825499523
alluxio-core	2	0.9231448556841929	0.8523320679441478	0.9354814436486707	0.7936150670251491	0.7020985438514145	0.44324024185304967	0.7455643497252087	0.5372638688260459	0.7308641009606136	0.938072885514553	0.6754432237950186	0.9373570797602204	0.8523320679441478	0.9352743837821229	0.793615067025149	0.9229309910332977	0.6830225662456898	0.7771369281063906	0.7638825433914591	0.8942967681192048	0.730760116949139	0.9397367881034963	0.6744886267526105	0.9382071317400507
alluxio-core	3	0.9233383059820482	0.8523320679441478	0.935487276320968	0.7936150670251491	0.7016697438548021	0.4432353812928021	0.7455638636691839	0.5368033688670169	0.7308641009606136	0.938770375910086	0.6754432237950186	0.9379943270170258	0.8523320679441477	0.9355475472680391	0.7932544134547759	0.923308170508513	0.6864882721232459	0.8349518274482041	0.7061362827801441	0.7807621331928918	0.7304380684504392	0.9381875155588815	0.6743684903971507	0.9382515466915393
alluxio-core	4	0.9233383059820481	0.8523320679441478	0.9352685511098248	0.7936150670251491	0.7021306543995365	0.44283174988867025	0.7451529414246807	0.5372439713795183	0.7308641009606136	0.93777444711535	0.6754432237950188	0.9379728527361163	0.8523320679441477	0.9352257781796469	0.7936315929299909	0.923144855684193	0.6944179658455366	0.8571730384308709	0.7772438884254017	0.95150513313164	0.7295663894121334	0.9385240783217162	0.6756647128938014	0.9382051875159524
alluxio-core	5	0.9233421944302462	0.8523320679441478	0.9354872763209682	0.7936150670251491	0.7021509624317694	0.44280012539657304	0.7460044661816855	0.5377015550023987	0.7308641009606137	0.9378541603034108	0.6754432237950185	0.9377695625514971	0.8522290240668984	0.9352743837821229	0.793618955473347	0.9233081705085129	0.6671683896227006	0.8823181344327388	0.6172840204299528	0.9648492189251355	0.7311268654441668	0.9402823789720831	0.6751009049273387	0.9378936256040801
alluxio-core	6	0.9233412223181968	0.8523320679441478	0.9354814436486705	0.7936150670251491	0.7024725232698029	0.44323781157292585	0.7460049522377101	0.5377069016186712	0.7308641009606136	0.9387314914281047	0.675448570411291	0.93718358264053	0.8522290240668984	0.9355475472680388	0.793618955473347	0.9229630707309322	0.6769900421542083	0.8993184994829726	0.753894860901878	0.789298839489366	0.7305445572177576	0.9390859210328192	0.673867260675105	0.9395572766105698
alluxio-core	7	0.9233421944302463	0.8523320679441478	0.9354814436486707	0.7936150670251491	0.7016819286741419	0.4427996393405482	0.7460049522377102	0.5372984096542917	0.7308641009606136	0.9388228699607606	0.6754485704112911	0.937242765636475	0.8522290240668983	0.9354882484330181	0.7932670509114197	0.9233616366712366	0.666178596081385	0.778176479337831	0.6516834727496589	0.8338842953346782	0.7308215754891408	0.9417213548525984	0.6754133176814902	0.9381752358956504
alluxio-core	8	0.9233383059820481	0.8523320679441478	0.935487276320968	0.7936150670251491	0.7021310367029872	0.44323781157292597	0.7455415359425326	0.5377069016186712	0.7308641009606136	0.9378736025444008	0.6754432237950186	0.9378910765576876	0.8523320679441477	0.9352199455073497	0.793254413454776	0.9229339073694462	0.6867147629905836	0.7341596162736197	0.6534276347486689	0.8918514249455953	0.7298105054928495	0.9388777151140433	0.6729842541652923	0.9392061329158278
alluxio-core	9	0.9233383059820479	0.8523320679441478	0.9355417145957415	0.7936150670251491	0.7020765984282138	0.44283174988867025	0.7460020359015617	0.537707387674696	0.7308641009606136	0.9375552358481822	0.6754485704112909	0.9379214268349062	0.8523320679441477	0.9352695232218753	0.7932544134547759	0.9229601543947836	0.666819141543763	0.7891622159531189	0.6322387894468278	0.8415072434603886	0.7299309084298656	0.9400784854889044	0.6751712671812703	0.939376944413771
